"sede","fecha","cantidad_visitantes","cantidad_combos","gasto_total","propina","tiempo_espera","satisfaccion_cliente","numero_de_mesas_disponibles"
"Trabajo_Argentino",2022-01-29,26,4,8000,503,6.4,92.4,17
"Malvinas_Argentinas",2022-01-29,50,4,8000,157,6.9,83.7,15
"Biblioteca",2022-01-29,47,2,4000,121,4.7,94.6,15
"Laboratorios",2022-01-29,16,4,8000,105,9.4,89.6,15
"Sede_Vergara",2022-01-29,72,5,10000,104,10.2,88.2,13
"Escuela_Universitaria_de_Ingles",2022-01-29,33,3,6000,101,6.2,96.6,22
"Trabajo_Argentino",2022-01-30,6,5,10000,308,12,91,16
"Malvinas_Argentinas",2022-01-30,12,2,4000,286,4,102.1,17
"Biblioteca",2022-01-30,12,2,4000,101,3.3,89.3,24
"Laboratorios",2022-01-30,19,5,10000,104,12.2,86.5,12
"Sede_Vergara",2022-01-30,46,5,10000,276,10.4,95,21
"Escuela_Universitaria_de_Ingles",2022-01-30,32,2,4000,182,3.9,98.4,15
"Laboratorios",2022-01-31,19,3,6000,274,6.5,98.9,29
"Sede_Vergara",2022-01-31,7,4,8000,250,6,95.3,17
"Escuela_Universitaria_de_Ingles",2022-01-31,41,3,6000,214,7.3,91.7,11
"Biblioteca",2022-02-01,26,3,6000,150,7.4,95.1,11
"Laboratorios",2022-02-01,10,4,8000,102,7.1,96.3,23
"Sede_Vergara",2022-02-01,37,3,6000,101,6.1,91.3,26
"Escuela_Universitaria_de_Ingles",2022-02-01,11,5,10000,267,10.2,85,10
"Malvinas_Argentinas",2022-02-02,6,3,6000,166,5.3,103.3,29
"Biblioteca",2022-02-02,17,2,4000,258,4.1,104.7,26
"Laboratorios",2022-02-02,3,2,4000,230,3.4,104.6,18
"Sede_Vergara",2022-02-02,45,3,6000,192,5.9,88.2,16
"Escuela_Universitaria_de_Ingles",2022-02-02,19,4,8000,164,7.3,97.3,22
"Trabajo_Argentino",2022-02-03,18,6,12000,446,10.5,91.1,19
"Malvinas_Argentinas",2022-02-03,10,3,6000,210,5.1,82,15
"Biblioteca",2022-02-03,41,5,10000,216,7.5,92.3,12
"Laboratorios",2022-02-03,20,3,6000,206,7.1,101.4,29
"Sede_Vergara",2022-02-03,14,3,6000,245,6.1,91.6,16
"Escuela_Universitaria_de_Ingles",2022-02-03,5,5,10000,274,7.5,87.6,18
"Trabajo_Argentino",2022-02-04,12,3,6000,324,4.6,94.5,18
"Malvinas_Argentinas",2022-02-04,3,5,10000,177,12.3,85.3,24
"Biblioteca",2022-02-04,11,2,4000,165,3.3,98.9,27
"Laboratorios",2022-02-04,15,5,10000,157,7.6,90.9,13
"Sede_Vergara",2022-02-04,6,5,10000,186,9.1,88,14
"Escuela_Universitaria_de_Ingles",2022-02-04,10,2,4000,121,4.5,98.4,11
"Trabajo_Argentino",2022-02-05,45,5,10000,446,9.1,88.2,28
"Malvinas_Argentinas",2022-02-05,13,2,4000,116,3.6,96.1,26
"Biblioteca",2022-02-05,55,3,6000,106,4.5,92.1,19
"Laboratorios",2022-02-05,24,5,10000,245,11.8,91.4,16
"Sede_Vergara",2022-02-05,43,3,6000,137,5.5,99.1,13
"Escuela_Universitaria_de_Ingles",2022-02-05,25,3,6000,140,6.9,95.7,13
"Trabajo_Argentino",2022-02-06,15,5,10000,561,12.3,83.2,13
"Malvinas_Argentinas",2022-02-06,5,4,8000,222,7.9,92.2,12
"Biblioteca",2022-02-06,41,3,6000,151,7,84.1,21
"Laboratorios",2022-02-06,15,5,10000,208,10.1,93.2,28
"Sede_Vergara",2022-02-06,54,5,10000,130,9.8,86,29
"Escuela_Universitaria_de_Ingles",2022-02-06,55,3,6000,236,5.1,88.8,16
"Malvinas_Argentinas",2022-02-07,2,5,10000,298,7.6,94.9,24
"Escuela_Universitaria_de_Ingles",2022-02-07,45,3,6000,254,4.7,98.3,25
"Trabajo_Argentino",2022-02-08,19,3,6000,356,7.2,88,23
"Biblioteca",2022-02-08,18,2,4000,102,4.6,84.3,17
"Laboratorios",2022-02-08,3,4,8000,214,7.7,92.4,17
"Sede_Vergara",2022-02-08,34,5,10000,187,8.3,102.7,10
"Escuela_Universitaria_de_Ingles",2022-02-08,20,2,4000,139,3.6,100.1,12
"Trabajo_Argentino",2022-02-09,15,6,12000,420,13.2,89.8,26
"Malvinas_Argentinas",2022-02-09,6,3,6000,300,6.1,94.3,29
"Biblioteca",2022-02-09,27,3,6000,146,7.3,97.2,17
"Laboratorios",2022-02-09,17,3,6000,150,7.3,88.6,15
"Sede_Vergara",2022-02-09,16,3,6000,107,6.3,86.9,21
"Escuela_Universitaria_de_Ingles",2022-02-09,14,2,4000,142,3.4,95.3,16
"Trabajo_Argentino",2022-02-10,32,3,6000,398,6.4,95.2,20
"Malvinas_Argentinas",2022-02-10,21,2,4000,106,4.3,94,10
"Biblioteca",2022-02-10,60,5,10000,245,9.3,97.6,18
"Laboratorios",2022-02-10,22,5,10000,172,8.3,96.9,11
"Sede_Vergara",2022-02-10,55,3,6000,157,4.9,93.4,10
"Escuela_Universitaria_de_Ingles",2022-02-10,5,3,6000,112,7.3,82.2,22
"Trabajo_Argentino",2022-02-11,3,3,6000,386,7.5,87.8,16
"Malvinas_Argentinas",2022-02-11,6,3,6000,240,6.3,93.4,14
"Laboratorios",2022-02-11,32,5,10000,215,9.4,85.4,27
"Sede_Vergara",2022-02-11,29,4,8000,167,6.6,84.3,12
"Escuela_Universitaria_de_Ingles",2022-02-11,19,4,8000,114,7.1,94.4,28
"Trabajo_Argentino",2022-02-12,26,3,6000,545,6.5,100.4,30
"Malvinas_Argentinas",2022-02-12,15,3,6000,175,5.5,97.4,20
"Biblioteca",2022-02-12,60,4,8000,178,9.9,87.5,13
"Laboratorios",2022-02-12,13,3,6000,234,4.9,96.8,16
"Sede_Vergara",2022-02-12,43,4,8000,137,8.3,90.8,16
"Escuela_Universitaria_de_Ingles",2022-02-12,24,3,6000,243,5.1,94.7,18
"Trabajo_Argentino",2022-02-13,8,5,10000,314,11,75.4,21
"Malvinas_Argentinas",2022-02-13,3,5,10000,239,12,85.4,24
"Biblioteca",2022-02-13,10,4,8000,237,9.3,89.4,29
"Laboratorios",2022-02-13,21,5,10000,193,8.2,91.8,12
"Sede_Vergara",2022-02-13,27,5,10000,281,8.3,102.6,17
"Escuela_Universitaria_de_Ingles",2022-02-13,33,4,8000,231,8.2,96.3,20
"Malvinas_Argentinas",2022-02-14,19,5,10000,220,10.6,85.5,29
"Laboratorios",2022-02-14,6,2,4000,191,4.4,97.4,12
"Escuela_Universitaria_de_Ingles",2022-02-14,37,3,6000,110,6.7,93.9,20
"Trabajo_Argentino",2022-02-15,14,6,12000,542,12.3,85.6,24
"Biblioteca",2022-02-15,10,4,8000,282,9.1,89,24
"Laboratorios",2022-02-15,8,5,10000,127,10.3,86.8,22
"Sede_Vergara",2022-02-15,23,2,4000,140,4.7,108.8,29
"Escuela_Universitaria_de_Ingles",2022-02-15,13,2,4000,228,3.5,106.3,30
"Trabajo_Argentino",2022-02-16,15,4,8000,487,8.4,92.4,19
"Malvinas_Argentinas",2022-02-16,8,5,10000,105,9,94.6,11
"Biblioteca",2022-02-16,18,4,8000,145,8.5,93.9,26
"Laboratorios",2022-02-16,10,4,8000,150,7.9,94.9,17
"Sede_Vergara",2022-02-16,28,3,6000,152,6.6,88.6,27
"Escuela_Universitaria_de_Ingles",2022-02-16,6,2,4000,181,3.3,102.2,17
"Trabajo_Argentino",2022-02-17,17,5,10000,476,8.9,79.9,22
"Malvinas_Argentinas",2022-02-17,8,5,10000,110,9.4,92.9,25
"Biblioteca",2022-02-17,41,3,6000,190,7.4,103,11
"Laboratorios",2022-02-17,18,5,10000,258,11.6,90.8,18
"Sede_Vergara",2022-02-17,34,4,8000,138,9.3,96,24
"Trabajo_Argentino",2022-02-18,22,4,8000,561,6.6,99.9,16
"Malvinas_Argentinas",2022-02-18,22,3,6000,281,5,90.3,28
"Biblioteca",2022-02-18,47,2,4000,265,4,104.4,16
"Laboratorios",2022-02-18,25,4,8000,181,9.8,90.5,21
"Sede_Vergara",2022-02-18,56,4,8000,265,7.3,89.9,23
"Escuela_Universitaria_de_Ingles",2022-02-18,15,4,8000,180,9.1,89.5,19
"Trabajo_Argentino",2022-02-19,43,3,6000,360,7.4,89.9,18
"Malvinas_Argentinas",2022-02-19,27,3,6000,224,7.1,99.5,19
"Biblioteca",2022-02-19,64,4,8000,271,9.6,98.8,22
"Laboratorios",2022-02-19,22,5,10000,202,10.1,86.7,28
"Sede_Vergara",2022-02-19,50,4,8000,151,8.2,92.1,10
"Escuela_Universitaria_de_Ingles",2022-02-19,25,4,8000,126,9.3,89.5,18
"Trabajo_Argentino",2022-02-20,20,4,8000,541,9.6,96.1,18
"Malvinas_Argentinas",2022-02-20,22,2,4000,259,4.9,90.7,28
"Biblioteca",2022-02-20,17,5,10000,203,9.5,89.9,17
"Laboratorios",2022-02-20,16,3,6000,287,6.6,94,11
"Sede_Vergara",2022-02-20,42,3,6000,151,5.2,97.4,18
"Escuela_Universitaria_de_Ingles",2022-02-20,19,2,4000,231,4.4,94.9,10
"Malvinas_Argentinas",2022-02-21,3,2,4000,153,4.1,94.4,26
"Escuela_Universitaria_de_Ingles",2022-02-21,27,3,6000,122,6.6,97,30
"Trabajo_Argentino",2022-02-22,7,5,10000,533,11,86.6,19
"Biblioteca",2022-02-22,7,3,6000,273,5.8,102,30
"Laboratorios",2022-02-22,2,3,6000,113,5,92.4,21
"Sede_Vergara",2022-02-22,19,5,10000,179,10,92.5,18
"Escuela_Universitaria_de_Ingles",2022-02-22,11,2,4000,174,3.2,92.4,16
"Trabajo_Argentino",2022-02-23,16,6,12000,420,13.8,78.4,30
"Malvinas_Argentinas",2022-02-23,18,5,10000,212,9.1,92.4,16
"Biblioteca",2022-02-23,56,3,6000,263,7.3,88,30
"Laboratorios",2022-02-23,13,4,8000,204,7.4,86,16
"Sede_Vergara",2022-02-23,35,5,10000,186,10.3,90.5,30
"Escuela_Universitaria_de_Ingles",2022-02-23,33,4,8000,290,6.2,90.9,21
"Trabajo_Argentino",2022-02-24,21,4,8000,467,6.1,97.3,16
"Malvinas_Argentinas",2022-02-24,8,3,6000,269,7.5,93.4,15
"Biblioteca",2022-02-24,13,5,10000,169,10.9,86.4,26
"Laboratorios",2022-02-24,6,3,6000,238,4.6,90.8,30
"Sede_Vergara",2022-02-24,45,2,4000,276,3.2,101.8,27
"Escuela_Universitaria_de_Ingles",2022-02-24,4,4,8000,196,6.8,104.5,25
"Trabajo_Argentino",2022-02-25,21,3,6000,361,5.9,92.6,30
"Malvinas_Argentinas",2022-02-25,10,4,8000,159,6.9,87.8,21
"Rectorado",2022-02-25,2,2,4000,106,4.7,93.8,27
"Biblioteca",2022-02-25,41,2,4000,204,3,93.8,21
"Laboratorios",2022-02-25,6,5,10000,188,8.3,87.1,27
"Sede_Vergara",2022-02-25,33,3,6000,192,5.8,90.1,29
"Escuela_Universitaria_de_Ingles",2022-02-25,14,5,10000,175,7.8,91.6,11
"Trabajo_Argentino",2022-02-26,32,5,10000,535,11.3,88.3,15
"Malvinas_Argentinas",2022-02-26,33,5,10000,267,10.6,86.7,13
"Rectorado",2022-02-26,13,3,6000,247,5.9,103.3,29
"Biblioteca",2022-02-26,47,4,8000,184,6.7,93.6,22
"Laboratorios",2022-02-26,22,3,6000,164,4.8,89.1,19
"Sede_Vergara",2022-02-26,48,2,4000,189,3.8,98.6,24
"Escuela_Universitaria_de_Ingles",2022-02-26,24,5,10000,120,7.6,93.7,10
"Trabajo_Argentino",2022-02-27,23,5,10000,305,8.6,89.9,11
"Malvinas_Argentinas",2022-02-27,16,5,10000,243,8,99.2,30
"Rectorado",2022-02-27,6,2,4000,105,4.5,90.9,16
"Biblioteca",2022-02-27,86,5,10000,175,10,97.2,25
"Laboratorios",2022-02-27,14,5,10000,244,8.9,89.4,28
"Sede_Vergara",2022-02-27,46,2,4000,222,3.7,95.9,24
"Escuela_Universitaria_de_Ingles",2022-02-27,49,4,8000,191,9.1,92.6,12
"Rectorado",2022-02-28,30,3,6000,243,5.4,95.1,14
"Laboratorios",2022-02-28,6,4,8000,176,7.5,93.5,27
"Sede_Vergara",2022-02-28,21,4,8000,216,9.5,90.2,16
"Escuela_Universitaria_de_Ingles",2022-02-28,46,3,6000,163,5.6,102.6,28
"Trabajo_Argentino",2022-03-01,19,6,12000,430,10.4,86.4,17
"Rectorado",2022-03-01,17,4,8000,214,7.8,94.7,13
"Biblioteca",2022-03-01,26,5,10000,139,12.5,92.3,14
"Laboratorios",2022-03-01,14,5,10000,199,10.7,84,25
"Sede_Vergara",2022-03-01,55,3,6000,278,5.7,95.8,21
"Escuela_Universitaria_de_Ingles",2022-03-01,20,3,6000,228,6.9,95.4,11
"Trabajo_Argentino",2022-03-02,21,5,10000,407,8.2,89.5,21
"Malvinas_Argentinas",2022-03-02,21,3,6000,164,6,89.2,28
"Rectorado",2022-03-02,7,4,8000,180,7.8,88.4,17
"Biblioteca",2022-03-02,39,5,10000,139,11.9,92.6,24
"Laboratorios",2022-03-02,15,2,4000,291,4.4,101.8,24
"Sede_Vergara",2022-03-02,44,2,4000,169,4.2,96.1,19
"Escuela_Universitaria_de_Ingles",2022-03-02,3,5,10000,238,11.7,91.6,21
"Trabajo_Argentino",2022-03-03,20,6,12000,471,11.5,86.6,22
"Malvinas_Argentinas",2022-03-03,1,2,4000,143,3.2,94.8,11
"Rectorado",2022-03-03,14,3,6000,162,5.5,90.2,26
"Biblioteca",2022-03-03,29,3,6000,268,5.5,90.4,15
"Laboratorios",2022-03-03,7,4,8000,230,7.3,81.5,24
"Sede_Vergara",2022-03-03,24,5,10000,286,9.3,94.9,21
"Escuela_Universitaria_de_Ingles",2022-03-03,18,2,4000,290,3.6,91.1,13
"Trabajo_Argentino",2022-03-04,37,4,8000,526,7.7,97.4,27
"Malvinas_Argentinas",2022-03-04,32,5,10000,224,8.3,92.7,13
"Rectorado",2022-03-04,10,4,8000,197,6.7,98.6,14
"Biblioteca",2022-03-04,55,3,6000,235,6.6,84.6,30
"Laboratorios",2022-03-04,20,5,10000,167,12.3,83.2,12
"Sede_Vergara",2022-03-04,53,2,4000,120,4.5,92.4,15
"Escuela_Universitaria_de_Ingles",2022-03-04,32,2,4000,136,3,93,29
"Trabajo_Argentino",2022-03-05,13,3,6000,566,5.6,87.6,10
"Malvinas_Argentinas",2022-03-05,27,5,10000,252,8.9,90.8,20
"Rectorado",2022-03-05,17,3,6000,256,6,92.1,16
"Biblioteca",2022-03-05,35,3,6000,200,7.2,94.2,26
"Laboratorios",2022-03-05,15,3,6000,295,6.6,97.6,15
"Sede_Vergara",2022-03-05,30,2,4000,239,3.6,93.7,10
"Escuela_Universitaria_de_Ingles",2022-03-05,40,3,6000,106,5.7,93.1,19
"Malvinas_Argentinas",2022-03-06,2,4,8000,296,8.3,88.8,10
"Rectorado",2022-03-06,25,2,4000,126,3,94.3,21
"Sede_Vergara",2022-03-06,7,4,8000,200,8.8,90.4,25
"Escuela_Universitaria_de_Ingles",2022-03-06,47,5,10000,184,12.5,87.5,30
"Trabajo_Argentino",2022-03-07,11,5,10000,493,8.3,95.3,15
"Rectorado",2022-03-07,10,3,6000,105,6.8,88.7,22
"Biblioteca",2022-03-07,23,4,8000,229,8.7,83.3,14
"Laboratorios",2022-03-07,6,4,8000,236,6.6,99.3,25
"Sede_Vergara",2022-03-07,23,5,10000,262,9.7,86.4,27
"Escuela_Universitaria_de_Ingles",2022-03-07,12,4,8000,235,6.5,89.7,26
"Trabajo_Argentino",2022-03-08,8,3,6000,431,4.9,94.7,30
"Malvinas_Argentinas",2022-03-08,22,4,8000,283,8.9,87.2,28
"Rectorado",2022-03-08,11,3,6000,273,6.2,95.5,19
"Biblioteca",2022-03-08,27,5,10000,221,10.7,87.7,20
"Laboratorios",2022-03-08,22,3,6000,210,5.6,96.2,21
"Sede_Vergara",2022-03-08,42,4,8000,263,7.1,95.9,27
"Escuela_Universitaria_de_Ingles",2022-03-08,39,3,6000,241,5.8,96.1,10
"Trabajo_Argentino",2022-03-09,23,3,6000,305,5.2,98.7,24
"Malvinas_Argentinas",2022-03-09,14,3,6000,296,5,89.7,27
"Rectorado",2022-03-09,13,3,6000,256,6.4,101.2,10
"Biblioteca",2022-03-09,28,4,8000,292,6.6,87.3,25
"Laboratorios",2022-03-09,15,3,6000,146,5.4,93.6,24
"Sede_Vergara",2022-03-09,31,5,10000,235,7.9,84.9,30
"Escuela_Universitaria_de_Ingles",2022-03-09,9,4,8000,107,6.3,89.6,25
"Trabajo_Argentino",2022-03-10,31,4,8000,505,7.9,92.1,18
"Malvinas_Argentinas",2022-03-10,9,2,4000,274,4.7,94,25
"Rectorado",2022-03-10,11,4,8000,130,7.9,99.6,24
"Biblioteca",2022-03-10,40,3,6000,219,6.3,89.8,21
"Laboratorios",2022-03-10,28,3,6000,123,5.9,100.6,29
"Sede_Vergara",2022-03-10,44,2,4000,198,3.1,96.5,16
"Escuela_Universitaria_de_Ingles",2022-03-10,24,2,4000,128,4.5,92.3,23
"Trabajo_Argentino",2022-03-11,37,5,10000,336,8.8,81.4,24
"Malvinas_Argentinas",2022-03-11,9,3,6000,294,6.6,98.3,12
"Rectorado",2022-03-11,22,3,6000,266,5.3,100,23
"Biblioteca",2022-03-11,63,4,8000,185,7.1,93.3,20
"Laboratorios",2022-03-11,21,4,8000,149,9.3,85.5,10
"Sede_Vergara",2022-03-11,44,4,8000,163,8.9,89.1,21
"Escuela_Universitaria_de_Ingles",2022-03-11,19,5,10000,239,9.4,91.6,25
"Trabajo_Argentino",2022-03-12,25,5,10000,597,11.8,80.1,25
"Malvinas_Argentinas",2022-03-12,19,4,8000,293,9,99.3,10
"Rectorado",2022-03-12,16,2,4000,202,3.9,88.3,16
"Laboratorios",2022-03-12,7,4,8000,292,6.9,91.6,21
"Sede_Vergara",2022-03-12,62,2,4000,160,3.4,97.8,21
"Escuela_Universitaria_de_Ingles",2022-03-12,29,2,4000,232,3.2,92.1,10
"Malvinas_Argentinas",2022-03-13,3,3,6000,294,4.9,100.4,11
"Rectorado",2022-03-13,14,2,4000,212,4.6,102.6,11
"Biblioteca",2022-03-13,47,4,8000,106,7.8,89.9,17
